Size,Traditional,Divide & Conquer, Strassen
4x4,320,6420,4710
8x8,775,54065,37970
16x16,3640,438950,273760
32x32,23055,3550420,1953100
64x64,168810,28486665,13599300
128x128,1354105,226634650,96712545
256x256,12555100,1814344245,675916890
2x2,225,545,300
4x4,330,6600,4755
8x8,770,53945,38125
16x16,3655,443830,278755
32x32,23020,3555210,1964205
64x64,170735,28139545,13639140
128x128,1351485,226555145,96591780
256x256,13009570,1813545985,677037990
2x2,235,715,285
4x4,315,6455,4760
8x8,780,54680,38545
16x16,3640,443295,278425
32x32,23045,3565655,1951325
64x64,170175,28291445,13763500
128x128,1406120,226943020,96471215
256x256,12997555,1815029370,677353515
2x2,225,585,300
4x4,335,6425,4895
8x8,790,54000,38145
16x16,3740,441585,275920
32x32,22900,3552980,1969220
64x64,172100,28456980,13679435
128x128,1347435,226586130,96448145
256x256,13435965,1818024430,676696680
2x2,220,575,290
4x4,325,6400,4885
8x8,770,54690,38565
16x16,3700,445310,277565
32x32,22910,3550445,1959110
64x64,169510,28263090,13839535
128x128,1371450,226863375,96401155
256x256,13545030,1814395145,676939165
2x2,245,620,315
4x4,305,6540,4730
8x8,780,53375,37750
16x16,3690,459635,278710
32x32,23085,3588375,1975820
64x64,171165,28358330,13751805
128x128,1347740,226442420,96462555
256x256,13833440,1817148610,676816280
2x2,215,610,295
4x4,305,6505,4730
8x8,770,54135,37780
16x16,3770,438050,275055
32x32,22780,3517570,1974390
64x64,170805,28563895,13713255
128x128,1372170,226761490,96324775
256x256,13981240,1813747160,676392780
2x2,230,575,285
4x4,320,6440,4885
8x8,775,54010,38645
16x16,3820,444270,277510
32x32,22925,3530110,1949485
64x64,170910,28321940,13660620
128x128,1352985,226982810,96200130
256x256,13641165,1815277625,679170265
2x2,225,525,295
4x4,320,6370,4725
8x8,785,54220,37775
16x16,3695,439320,274190
32x32,22800,3547760,1942345
64x64,170135,28464595,13746000
128x128,1381590,227611275,96429300
256x256,13899665,1814414700,677380465
2x2,230,585,285
4x4,315,6610,4740
8x8,795,56510,38920
16x16,3985,447705,280775
32x32,23565,3578200,1948815
64x64,171020,28858115,13798375
128x128,1378355,227524390,96584820
256x256,13430855,1815931865,677393705
2x2,225,560,290
4x4,325,6500,4760
8x8,905,55330,38430
16x16,3665,442250,277135
32x32,22910,3561880,1962340
64x64,171290,28337650,13646615
128x128,1363150,227121460,96495775
256x256,15002070,1815372550,677009695
2x2,220,570,290
4x4,315,6465,4705
8x8,770,53975,38390
16x16,3655,479570,278575
32x32,23305,3557555,1964730
64x64,171095,28450175,13644240
128x128,1381035,226504700,96441480
256x256,13827850,1816263370,676415270
2x2,215,575,305
4x4,315,6445,4775
8x8,790,55005,38600
16x16,3675,445055,279200
32x32,23305,3578535,1971245
64x64,172210,28513730,13663480
128x128,1371135,226691655,96521815
256x256,14231235,1815323620,676523455
2x2,215,575,290
4x4,310,6355,4690
8x8,765,54145,38025
16x16,3655,439210,278370
32x32,23100,3528535,1957905
64x64,170750,28395295,13803810
128x128,1382745,226313710,96786985
256x256,13066115,1816818975,676975625
2x2,220,540,300
4x4,315,6385,4860
8x8,780,55540,39065
16x16,3850,437855,277095
32x32,22800,3530835,1976480
64x64,170525,28522910,13738000
128x128,1361730,227184180,96601510
256x256,13504020,1814968225,676911045
2x2,220,620,280
4x4,315,6385,5840
8x8,785,54040,38155
16x16,3825,445050,278805
32x32,22910,3545940,1967435
64x64,171395,28401915,13661740
128x128,1367480,226637205,96407285
256x256,14010595,1817353940,677226390
2x2,215,560,280
4x4,320,6365,4715
8x8,775,54560,38200
16x16,3640,443195,274995
32x32,22765,3561310,1955750
