Size,Traditional,Divide & Conquer, Strassen
128x128,1341825,224423260,96118075
256x256,12811665,1803956675,673690705
2x2,225,540,315
4x4,315,6365,4730
8x8,780,54420,38085
16x16,3635,438315,274545
32x32,22750,3531935,1961420
64x64,171275,28200950,13705730
128x128,1383485,224656075,96140920
256x256,12877405,1804091170,673440445
2x2,215,615,285
4x4,305,6355,4725
8x8,1000,54425,38125
16x16,3655,434595,275110
32x32,23025,3548215,1938545
64x64,170065,28146875,13744800
128x128,1347580,224643700,96197870
256x256,12913770,1804169110,673289730
2x2,220,570,285
4x4,305,6360,4705
8x8,815,60330,37630
16x16,3665,440955,276490
32x32,22915,3527915,1946765
64x64,169100,28149365,13711140
128x128,1358250,224666330,96186765
256x256,13000420,1804081505,673657325
2x2,205,635,290
4x4,350,6380,4880
8x8,790,53870,38090
16x16,3640,442800,275885
32x32,22780,3511855,1951570
64x64,170485,28225075,13688705
128x128,1354025,224717010,96158285
256x256,15369295,1803605555,672803540
2x2,225,645,295
4x4,305,6415,5040
8x8,775,54715,38415
16x16,4045,439175,277385
32x32,22745,3560580,1942675
64x64,168745,28184845,13651830
128x128,1347935,224705500,96176945
256x256,12833055,1804124255,674976420
2x2,230,565,275
4x4,335,6315,4930
8x8,770,54105,37995
16x16,3620,438350,273595
32x32,22915,3506340,1942570
64x64,169165,28219725,13713430
128x128,1357150,224407340,96210050
256x256,12942210,1804061095,673096235
2x2,210,640,295
4x4,375,6445,4880
8x8,775,54835,38045
16x16,3750,461500,274480
32x32,23570,3521325,1939185
64x64,168895,28163525,13722625
128x128,1357280,224560580,97184100
256x256,13015205,1804720840,673397875
2x2,230,605,340
4x4,305,6315,4905
8x8,770,53910,38825
16x16,3680,439735,273965
32x32,23485,3527550,1962695
64x64,169405,28196760,13747910
128x128,1364680,224385115,96092410
256x256,12965440,1804180275,673374705
2x2,215,610,295
4x4,310,6385,4805
8x8,855,54395,37735
16x16,3660,438490,276650
32x32,22765,3534155,1944640
64x64,169540,28323285,13774330
128x128,1363010,224516515,96171145
256x256,13038725,1803339380,673785530
2x2,220,570,305
4x4,310,7335,4715
8x8,775,54655,38955
16x16,3635,444780,278125
32x32,23030,3541600,1946030
64x64,169370,28158690,13764900
128x128,1365470,224718075,96115380
256x256,12893020,1803255425,673345490
2x2,220,585,305
4x4,310,6435,4740
8x8,770,54325,38510
16x16,3670,440565,276840
32x32,22800,3528785,1944940
64x64,168995,28221530,13826145
128x128,1347040,224329280,96310390
256x256,12987905,1803502075,673617060
2x2,210,610,300
4x4,310,6595,4675
8x8,770,54890,38170
16x16,3660,437630,276115
32x32,22945,3518905,1952635
64x64,170020,28231590,13783845
128x128,1355830,224659160,96350835
256x256,12939145,1803899510,673487745
2x2,205,545,300
4x4,310,6385,4735
8x8,775,54345,38110
16x16,3645,439315,275300
32x32,22980,3546610,1946390
64x64,169375,28185480,13785650
128x128,1350965,224411750,96121830
256x256,13000830,1804607880,673161455
2x2,225,560,295
4x4,305,6540,4725
8x8,765,54020,38020
16x16,3625,436250,276965
32x32,22855,3521535,1949595
64x64,169485,28282300,13726495
128x128,1349090,224454530,96064025
256x256,12920240,1803891360,673671915
2x2,215,570,430
4x4,310,6410,4960
8x8,785,54620,37865
16x16,3675,437515,275370
32x32,22765,3503580,1947205
64x64,170655,28411970,13711615
128x128,1348240,224514160,96179430
256x256,12896040,1803829135,673271380
2x2,225,620,290
4x4,300,6730,4760
8x8,775,54965,38265
16x16,3645,444000,278340
32x32,22950,3551550,1950905
64x64,170550,28338925,13598130
128x128,1391610,224496220,96173480
256x256,12970050,1804644020,673150115
2x2,205,550,290
4x4,305,6185,4565
8x8,870,54460,38745
16x16,3650,441400,277170
32x32,22815,3519270,1966135
64x64,170700,28331770,13695350
128x128,1377835,224753255,96336820
256x256,12999375,1804694775,673722730
2x2,240,590,310
4x4,310,6890,4750
8x8,770,53530,38200
16x16,3685,461905,275875
32x32,23080,3531805,1969410
64x64,171455,28317950,13648710
128x128,1412770,224584185,96030275
256x256,12898260,1803667130,673487930
2x2,235,605,325
4x4,315,6395,4760
8x8,790,54650,37955
16x16,3670,440580,278470
32x32,23065,3551350,1970450
64x64,169970,28296010,13664005
128x128,1333480,224370860,96005895
256x256,13129780,1804617560,673450770
2x2,225,625,335
4x4,315,6580,4725
8x8,780,54640,39075
16x16,3695,445460,280195
32x32,23325,3536025,1946665
64x64,170650,28153075,13715005
128x128,1349780,224705860,95995350
256x256,13216885,1803915050,673762260
2x2,210,605,295
4x4,305,6405,5175
8x8,785,54540,38485
16x16,3705,443105,276370
32x32,23105,3545880,1961495
64x64,173800,28261920,13680450
128x128,1352640,224808605,95924730
256x256,13558240,1806103340,673363585
2x2,215,565,285
4x4,315,6705,4740
8x8,775,54230,38140
16x16,3645,442360,277350
32x32,23165,3536060,1964340
64x64,170235,28258890,13659520
128x128,1356615,224509535,96063365
256x256,13755685,1803452955,674513920
2x2,250,600,330
4x4,305,6415,5240
8x8,785,54440,38355
16x16,3810,442890,278435
32x32,22780,3518455,1957720
64x64,168840,28202600,13676850
128x128,1346930,224632500,96156550
256x256,13822535,1803548240,673237350
2x2,200,610,310
4x4,305,6375,4775
8x8,780,54215,39160
16x16,3640,441560,276115
32x32,23395,3539565,2205980
64x64,299075,28476780,13675170
128x128,1353985,225055985,95981045
256x256,13737925,1804610380,673479710
2x2,210,595,285
4x4,305,6380,4730
8x8,775,56235,38845
16x16,3705,440215,277765
32x32,22865,3527345,1950105
64x64,170205,28188705,13689405
128x128,1352860,224540555,95991395
256x256,13766305,1806321845,673806100
2x2,220,570,310
4x4,305,6345,4955
8x8,760,53705,37855
16x16,3660,438530,277045
32x32,22790,3509485,1940590
64x64,169070,28266780,13677470
128x128,1346655,224509910,95988935
256x256,15283645,1803858285,673387705
2x2,215,540,305
4x4,305,6475,4710
8x8,775,54600,38160
16x16,3615,438590,276980
32x32,22820,3555585,1943275
64x64,170945,28245215,13650095
128x128,1352195,224657740,95906845
256x256,13986095,1804489070,673452510
2x2,205,575,280
4x4,305,6420,4745
8x8,775,53810,38025
16x16,3655,440155,275140
32x32,22740,3520450,1942035
64x64,169120,28165445,13644790
128x128,1353235,225107280,96234160
256x256,13078200,1804200455,673892180
2x2,210,575,305
4x4,305,6345,4710
8x8,765,54965,38335
16x16,3635,459405,274400
32x32,22935,3508640,1945395
64x64,169935,28197815,13672840
128x128,1348110,224724225,95946575
256x256,13883295,1805070835,673639215
2x2,215,580,270
4x4,305,6365,4720
8x8,770,54375,38240
16x16,3645,440915,274950
32x32,22865,3527690,1979410
64x64,171375,28182420,13663075
128x128,1350190,224539765,95980760
256x256,13869215,1804524850,673468480
2x2,205,595,290
4x4,315,6305,4725
8x8,780,54285,38395
16x16,3690,440655,276855
32x32,22885,3510440,1942660
64x64,168860,28227335,13669290
128x128,1357595,224442630,95999150
256x256,13487445,1804077320,673329670
2x2,215,590,285
4x4,335,6380,4755
8x8,780,53975,38285
16x16,3660,437775,275585
32x32,22860,3551005,1938970
64x64,169115,28256650,13664360
128x128,1347970,224923295,95947735
256x256,13669695,1803943415,673833040
2x2,210,570,285
4x4,305,6370,4710
8x8,775,54785,37955
16x16,3630,437735,275040
32x32,23230,3548035,1944255
64x64,169335,28242625,13677760
128x128,1351350,224482590,95981880
256x256,13816220,1803823265,673687200
2x2,225,605,295
4x4,320,6335,4720
8x8,930,53950,37915
16x16,3680,439640,275145
32x32,22745,3518660,1938880
64x64,171245,28182405,13661630
128x128,1341405,224427240,95983880
256x256,13853720,1804107750,673707705
2x2,220,555,280
4x4,305,6325,4715
8x8,760,53915,38430
16x16,3640,435265,274935
32x32,22955,3547965,1939445
64x64,169360,28283420,13669165
128x128,1349080,224584150,96131570
256x256,13815280,1803848330,673517340
2x2,220,615,295
4x4,305,6375,4715
8x8,775,54095,39145
16x16,3635,438585,275355
32x32,22965,3530580,1974880
64x64,172170,28207270,13705100
128x128,1343140,224698335,96081870
256x256,13773860,1803727630,673185645
